name,tag_a,tag_b,tag_c,byname,belonging,population,girls_population,mailaddress,twitter,instagram,youtube,other_account,homepage,area,clubroom,action_day,minimum_day,need_tool,action,action_career,festival,festival_doing,intercollegiate,intercollegiate_group,notkeio_people,notkeio_girls,affiliated_schools,sponsor,april,may,june,july,august,september,october,november,december,january,february,march,one_word,money,nomikai_frequency,nomikai_intensity,couple,handsome_beauty,honest,serious,past_questions,find_work,introduction,top_img,pic_1,pic_2,pic_3,pic_4,pic_5,pic_6,pic_7,pic_8,pic_9,pic_10,mov_1,mov_2
體育會重量挙部,スポーツ,重量挙げ,体育会,,体育会,36,3,agebu.manager@gmail.com,keioWL2019,https//www..com/keio_weightlifting/,,,https://keiowl.wixsite.com/agebu/contact,協生館地下二階→記念館,協生館地下二階→記念館,平日3~4回+土曜日,平日3~4回+土曜日,ウエイトリフティングシューズ(貸出有り),インカレ入賞・一部リーグ昇格・早慶戦の勝利を目標として、日々練習に励んでいます。,第65回(2019年度)全日本大学対抗ウェイトリフティング選手権大会 5位入賞,参加しなかった,,×,,0,0,,,,横浜市民体育大会ウェイトリフティング選手権,東日本大学対抗ウエイトリフティング選手権大会、国体予選,,夏合宿,東日本学生ウエイトリフティング個人選手権大会,慶早戦,全日本大学対抗ウェイトリフティング選手権大会,全日本学生ウェイトリフティング新人選手権大会、神奈川選手権大会,,,総会・卒業生送別会、六大学記録会,全員に活躍のチャンスがあります！重量挙部で最高の大学生活を！,24000,1,3,2,3,5,3,3,OBやコーチが真摯に就活の相談に乗ってくださります。,"重量挙部は大学から競技を始めた部員が大半であり、未経験者が大会に出場し活躍できる数少ない體育會です。練習日は平日3~4回（選択制）と土曜の全体練習であり、インカレ入賞・一部リーグ昇格・早慶戦の勝利を目標として、日々練習に励んでいます。昨年度のインカレでは5位入賞という好成績を収めました！平日練習は選択制のため、勉強やアルバイトと両立しながら部活に打ち込むことができます。
 選手をサポートするマネージャーも募集中です。動画撮影・記録管理・大会運営が主な仕事です、「目標達成に向けて共に頑張っていきたい！」という方をお待ちしています！
 また、女子選手も大募集しています！我が部の女子選手は大学から競技を始め、インカレで入賞するなど大活躍しています！
 重量挙げは努力次第で全員に活躍のチャンスがあります。競技歴・学年・男女問わず、目標に向かって共に戦う仲間を待っています！ぜひ一度説明会、体験会にお越しください！",24900.jpg,24901.jpg,24902.jpg,24903.jpg,24904.jpg,,,,,,,2491.mp4,
体育会相撲部,スポーツ,相撲,体育会,慶應相撲部,体育会,5,0,info@keio-sumo.jp,keiosumo3,,,,http://www.keio-sumo.jp/,三田綱町道場,,週4（火・木・土・日）,原則全参加（授業と被った場合授業優先可）,稽古体験の際は短パンと必要であればタオル（貸出可）をお持ちください。,大会に向けた稽古,東日本学生相撲選手権大会Aクラス8位、東日本学生相撲リーグ戦Bクラス優勝 など,参加しなかった,,×,,0,0,塾高・志木高,,新歓,東日本学生相撲新人選手権大会,東日本学生相撲選手権大会,東日本学生相撲個人体重別選手権大会,夏合宿,全国学生相撲個人体重別選手権大会,東日本学生相撲リーグ戦,全国学生相撲選手権大会（インカレ）,,,,卒業生追い出し稽古,貴方の様々な経験が相撲に生きます。土俵で輝きましょう！,0,4,3,2,3,4,4,2,特になし,"我々相撲部は週4日、三田にある綱町道場で稽古をしています。稽古は約2時間ほどでメリハリある稽古をするので、大学生活で体育会以外にも何かに取り組む時間を確保しやすい部活です。
 また、部員の中には大学で相撲を始めた初心者もおり、相撲未経験でも心配無用です！
 さらに、相撲は体が大きい人がやるというイメージがあるかもしれませんが、学生相撲には体重別の大会もあり小柄でも活躍できる場があるため体格も不問です！
 部員同士の仲も良く、大学生活で4年間打ち込める何かを探している方にとって最適な部活です！
 見学からでも構いませんので興味のある方は是非ぜひ一度ご連絡ください！",25000.jpg,25001.jpg,25002.jpg,25003.jpg,25004.jpg,25005.jpg,25006.jpg,25007.jpg,25008.jpg,25009.jpg,25010.jpg,2501.mp4,2502.mp4
體育會合氣道部,スポーツ,合氣道,体育会,,体育会,23,6,aikido.keio@gmail.com,keioaiki,,,,https://www.keio-aikido.com,慶應義塾體育會合氣道部蝮谷道場,同上,週6,基本的には全参加,道着だけ(しかも貸出あり)!,合氣道の稽古,全日本大会 個人1.2.3.4位入賞 団体の部1位,参加した,演武会を行いました,×,,0,0,早稲田大学、東京大学、明治大学、東京工業大学、日本大学など,,お花見、新歓オリエンテーション,新入生歓迎会、部内新人戦,前期納会,試験前オフ,夜行軍、夏季合宿,全日本大会,慶早戦,三田祭演武,後期納会、早慶明合同稽古、忘年会,年度納会、試験前オフ,春合宿,AII keio 、20大学合同稽古、テニス大会,武道をやってみたい方、やる氣のある方を募集しています！,24000,2,2,3,3,5,5,2,部OB・OGを訪問して話を聞くことができる,合氣道というのは、相手を導く武道です。うまく導くためには、技が正確であるだけでなく相手の心を把握する必要があります。私達と一緒に心と体を鍛える武道をやってみませんか？,25100.jpg,25101.jpg,25102.jpg,,,,,,,,,,
體育會バドミントン部,スポーツ,バドミントン,体育会,,体育会,19,6,なし,keio_bad,keio_badminton,,,https://keiobad.com/,日吉キャンパス記念館.蝮谷体育館.会堂,日吉キャンパス記念館横,週6回(月or火オフ),授業等が無ければ基本的に全参加,ラケット、ウェア、シューズ、他適宜活動に必要なもの,体育館での練習、外でのトレーニング等,関東学生リーグ男子4部女子3部所属、個人インカレ出場有り,参加しなかった,,×,,0,0,,,春季リーグ戦,春季リーグ戦,関東学生バドミントン選手権大会,合宿,東日本大会,東日本大会、秋季リーグ戦,インカレ、早慶戦,,,,,新人戦、合宿,全力で何かを頑張りたい人、募集中です！,30000,2,2,3,5,5,5,2,OB•OGの方とのつながりが強い,バドミントン強くなりたい方、大歓迎です！初心者も歓迎です！,25200.jpg,,,,,,,,,,,,
體育會所属準體育會アメリカンフットボール部ダックス,スポーツ,アメリカンフットボール,体育会,慶應ダックス,体育会,50,10,なし,2020_ducks,keioducks,KEIO DUCKS,,https://keioducks.wixsite.com/keioducks,新横浜、川崎、下高井戸等の人工芝グラウンド、多摩川グラウンド,食堂棟3階に占有スペースあり,週3〜4,基本全参加（応相談）,アメフト用防具、やる気,春期: 他チームとの合同練習、対外試合 秋期: リーグ戦、関東選手権,,参加しなかった,,×,,0,0,早稲田大学、明治大学、東洋大学、日本大学等,,新歓、練習試合,早慶戦、練習試合,1年生週間、JVメージ,社会人リーグとのオールスターゲーム、シーズンオフ、夏納会,シーズンイン、夏合宿,リーグ戦開幕,リーグ戦,リーグ戦,リーグ戦、関東選手権,シーズンオフ、冬納会、退部式,シーズンイン、春合宿,合同練習、対外試合,未経験者も大歓迎です！マネージャーも募集しています！,25000,2,3,4,4,4,4,4,アメフトというスポーツの特質上、根気よく体力もあると見られる。また、56年続く歴史あるクラブのため、OBも様々な業界で活躍している。先輩方の華々しい就職先を是非聞きに来てください！,我々ダックスは、アメフトにおいては體育會、それ以外はサークルという姿勢で日々練習に励みつつ楽しむところは楽しんでいます。準體育會という性質上、體育會と比べられがちですが、練習日数が3〜4日のため、アルバイトや資格勉強など自分のやりたいことに時間を費やすことができます。また留学を許容していることも大きな特徴です！スポーツに本気で取り組みながらも、大学生活を充実させたい！という人は是非ダックスへ！,25300.jpg,25301.jpg,25302.jpg,25303.jpg,25304.jpg,25305.jpg,,,,,,,
総合音楽研究会,音楽,オールジャンルバンドサークル,独立団体,SOK,独立団体,200,100,sugano.sok19@gmail.com,Souonken,,,,http://souonken.main.jp/,食堂棟3階N-10、下北沢ベイド,食堂棟3階N-10,不定期,とくになし,元気,ライブ、スキー、スノボ、BBQ,2017年三田祭模擬店大賞受賞,参加した,ライブ、焼きそばの模擬店,×,,0,0,,,新歓ライブ、新歓合宿,新入生ライブ、BBQ,6月ライブ,テストのためなし,8月ライブ、海の家,夏合宿,10月ライブ、BBQ,三田祭,12月ライブ,テストのためなし,2月ライブ、冬合宿,卒業ライブ、追いコン,とにかく自由で、規模が大きく、年会費が安いのが特徴です！,5000,5,2,4,3,3,1,4,OBOGの指導、コネ,イベントの参加が自由なので兼サーしやすい,,,,,,,,,,,,,
Dance Unit W+I&S,スポーツ,ダンス,独立団体,ドゥブルベ、ドゥブ,独立団体,100,68,なし,wis_dance_home,danceunitwis,,,,sfcフィットネスルーム、sfcアリーナ,φ108,公演期間中は土日、平日1〜2日,週3日,内履き,ダンス,,参加しなかった。,,×,,0,0,,モンスターエナジー、ダンサーズコレクション、地域の企業,春公演練習,春公演練習,春公演,たなるべ,秋祭練習,秋祭練習（合宿）,秋祭,おどるべ,,,first challenge（一年生のみ）,春公演練習（合宿）,とても暖かいサークルです！ダンスに少しでも興味ある人大歓迎！,10000,2,2,4,5,4,5,3,"・OBOGとの繋がりが強い。
 ・協賛企業や業者などと接する機会があるため、社会経験になる。","こんにちは、Dance Unit W+I&S(ドゥブルベ)です！
 我々W+I&Sは今年で創設31年目を迎える、SFC唯一のダンスサークルであり、毎年春公演と秋祭の２つのステージに向けて日々ダンスに取り組んでいます！
 W+I&Sは本当にホームのように温かいサークルなので、ダンスに少しでも興味ある人は一度体験に来てみて下さい！
 経験者、未経験者問わず、誰でも大歓迎です！！",,,,,,,,,,,,,
バスケットボール部(理工学部),スポーツ,バスケットボール,理工学部体育会,リコタイバスケ部、準体育会バスケ部,理工学部体育会,80,30,なし,"(公式)rikotai_bsk ,(新歓用)keiorikotaibsk",rikotaibasket19,,,,綱島地区センター、小机地区センター等,,週2or3 火、木、金 (土、日)(試合),プレーヤーは全参加、マネージャーは任意の日程,シューズ、ウェア,体育館での練習、練習試合、大会,昨年度関東理工系バスケットリーグ(4部構成) 1部準優勝,参加した,一昨年度 模擬店を出店,×,,0,0,,,新歓、通常練習、練習試合,通常練習、練習試合,通常練習、練習試合、夏季理工系リーグ(大会),通常練習、練習試合、夏季理工系リーグ(大会),オフ,夏季合宿、通常練習、練習試合,通常練習、練習試合,通常練習、練習試合,通常練習、練習試合、理工系リーグ新人戦(大会),オフ,春季合宿、通常練習、練習試合,通常練習、練習試合、春季理工系トーナメント(大会),2019関東理工リーグ1部準優勝！ マネージャー募集中です！,5000,3,3,4,4,4,5,4,準体育会でアピールできます。主将･主務などもアピールでき、各業界のOB会も充実しています。,バスケは本気で全員で優勝を目指しています。コート外でも学年･プレマネ･学部問わず仲が良いです。就活でも4年間打ち込んだものとして自信を持てます。まずは新歓へ！！,25600.jpg,25601.jpg,25602.jpg,25603.jpg,25604.jpg,25605.jpg,25606.jpg,25607.jpg,25608.jpg,25609.jpg,,,
ウインザーテニスクラブ,,,独立団体,ウインザー,独立団体,150,70,なし,windsor_keio20,windsor_keio2020,,,,新横浜、多摩川、大井埠頭,,月〜土の週6日,特になし,ラケット（貸し出しできます）、ウェア,新横浜や多摩川のテニスコートで練習しています,男子関東1回戦突破、女子塾内ベスト16,参加しなかった。,,×,,0,0,,,顔合わせ会、新歓総会、一年生企画,新歓合宿、ボーリング大会,早慶戦観戦、日吉戦,関東企画,強化練、夏合宿,関東団体戦、一年生合宿,塾内団体戦、ミュージックフェスティバル,ウインザー杯、塾内企画,総会コンパ、クリスマスパーティー,新年会、日吉戦,春合宿、初心者戦,卒業生イベント、一年生戦,,,2,3,5,4,3,3,3,特になし,ウインザーは今年で55年目を迎える伝統あるサークルです。月曜から金曜の平日に加えて土曜日も練習を開催しており、好きな時に好きなだけテニスができます！主な練習場所は新横浜や多摩川で、初心者指導も充実しているのでテニスをやったことがない人もすぐに上達します⭐︎テニス以外のイベントもたくさんあるので大学生活がより一層彩ること間違いなし！大規模ながらも男女学年を超えて本当に仲の良いアットホームなサークルです( ´ ▽ ` ),,,,,,,,,,,,,
OrangeDay,スポーツ,フットサル,,オレンジ,未公認団体,150,60,なし,OrangeDay2020,orangeday2020,,公式LINE 0067tsypg,,港北スポーツセンター（大倉山）、長友フィールド（中山）,,週２回,特になし,,フットサルの練習・試合、合宿や納涼船、スノボ等の様々なイベント,FUTSAL GAMES COSMO CUP の男女MIX部門優勝,参加した,屋台で唐揚げとおしるこを販売,×,,0,0,,,新歓パーティー、新歓合宿,早慶戦観戦,キャンプ、フットサル大会合宿,総会,納涼船、夏合宿,Orange杯,秋合宿、ハロウィンパーティー,三田祭、フットサル大会合宿,クリスマスパーティー,新年会,冬合宿,同期旅行、1年生大会,塾内最大男女混合フットサルサークル！初心者も大歓迎🙆‍♀️,5000,3,2,4,4,3,2,3,特になし,"OrangeDayは男女共にプレーできる慶應生のみの男女ミックスフットサルサークルです！！
 普段の練習は週2回程度、大倉山の港北スポーツセンターで行っています👍
 サッカーやフットサル初心者から経験者まで幅広く活動しているので、お気軽に参加お待ちしております😊
 
 普段の練習や大会合宿に加え、夏にはキャンプ⛺️や海辺での夏合宿🌊、秋には三田祭出店、冬にはクリスマスパーティー🎄やスノボ合宿🏂など、イベントが盛り沢山のサークルです💫
 男女問わず、大勢の友達ができること間違いなし！😉
 同期はもちろん、先輩・後輩もとても仲の良いサークルです！
 
 ぜひ私たちと一緒にフットサルもイベントも楽しめる最高の大学生活を送りましょう！！！！",25800.jpg,25801.jpg,25802.jpg,25803.jpg,25804.jpg,25805.jpg,25806.jpg,25807.jpg,25808.jpg,25809.jpg,25810.jpg,2581.mp4,
レギュレーションテニスサークル,,,独立団体,レギュ,独立団体,150,70,なし,なし,,,なし,,三ツ沢テニスコート,なし,平日,特になし,ラケット、運動出来る服装、テニスシューズ,テニス,なし,参加した,チュロスの屋台販売,×,,80,0,,,新歓,新歓合宿,メンバー合宿,,夏合宿,メンバー合宿,,三田祭,,,春合宿、メンバー合宿,,,,5,4,4,4,1,3,3,大手企業に就職してる先輩がいる為、有力な情報を得られる点。,テニスの実力もさることながら、イベントも豊富で大学生活を有意義に過ごすにはピッタリのサークルだと思います。,,,,,,,,,,,,,
十八人会,文化系,法律,独立団体,18人会、18、十八、じゅうはち,独立団体,400,200,なし,18_members,,,,http://user.keio.ac.jp/~ub404332/index.html,たまり : J14教室｜その他 : イベントによります。,塾生会館306号室,週3回程度,特になし,,"週3回の例会（勉強会）
 合宿や夏・秋企画での旅行
 数多くの各種イベント（年間スケジュール参照）","第66回末川杯争奪法律討論会 優勝（立論の部・質問の部）
 第67回末川杯争奪法律討論会 準優勝（質問の部）",参加しなかった。,,×,,0,0,,,オリエンテーション、弁護士事務所見学,新歓合宿、慶早戦観戦,新入生歓迎パーティー、慶早戦観戦、1年生コンパ,試験対策勉強会、前期総会・納会,夏企画（花火、納涼船など）、夏合宿,末川杯争奪法律討論会、三田日吉合同コンパ,役員選挙、慶早戦観戦,司法試験合格者祝賀会、秋企画（旅行、温泉、ディズニーなど）,検察庁・裁判所見学、後期総会・納会、クリスマスパーティー,初詣、試験対策勉強会,春合宿,追い出しコンパ,2019年度塾内最大級の法律サークルです！,4000,2,2,3,4,3,4,4,"十八人会は、1965年に設立された伝統あるサークルです。その長年の歴史を支えてきたOB・OGの方々は現在、弁護士などの法曹界、各府省庁、大手企業など、実に幅広い分野において活躍されています。
 こうした数多くの優秀な先輩方との結びつきは、塾内最大規模の会員数を誇り、”人との繋がり”を大切にしている本サークルにしかないものだといえるでしょう。","私たち十八人会は、50年以上の歴史を持ち、数多くの司法試験合格者を輩出してきた伝統あるサークルです。
 例会（勉強会）や法律討論会への参加といった活動はもちろん、合宿や夏・秋企画での旅行などのイベントを通して、会員同士の仲を深められること間違いナシです！
 法曹志望であるかどうかを問わず、友達を沢山作りたい方は是非十八人会へ！",26000.jpg,26001.jpg,26002.jpg,26003.jpg,26004.jpg,26005.jpg,26006.jpg,26007.jpg,26008.jpg,26009.jpg,26010.jpg,,
ALEKS TENNIS ASSOCIATION,,,独立団体,ALEKS、アレックス,独立団体,166,70,なし,aleksorien2020,aleks_keio2020,,,http://aleks.jp,日吉ローンテニスクラブ第2コート、多摩川テニスコート,なし,月曜、火曜、木曜、金曜,特に無し,やる気、元気、ラケット,テニス,塾内団体戦男女準優勝、関東大会男子ベスト4 女子ベスト8,参加した,屋台でフランクフルト販売,×,,0,0,,,新歓活動,新歓合宿、早慶戦,若葉合宿,学年毎に合宿、対抗戦,夏合宿,対抗戦,対抗戦、塾内団体戦、関東団体戦,日吉選挙、塾内団体戦、関東団体戦,三田選挙、塾内団体戦、関東団体戦,テスト,春合宿、対抗戦,追いコン,,,2,3,5,5,2,5,4,皆個性を出してそれぞれの希望の企業に旅立って行きます。,最強のテニスと最高の仲間で史上最大の楽しさ！初心者も大歓迎！,,,,,,,,,,,,,
スポーツ新聞会,文化系,新聞,文化団体連盟,ケイスポ,文化団体連盟,36,19,keispo@yahoo.co.jp,keiosports,keiosports,,,http://keispo.org/wordpress/,體育會の試合会場,日吉:107,主に土、日,特になし,,體育會の部員への取材、記事の執筆、写真の撮影,,参加しなかった。,,×,,0,0,,,新歓号、レガッタ号発行,新歓合宿、春季早慶野球号発行,,早慶サッカー号発行,夏合宿,,秋季早慶野球号発行,早慶ラグビー号発行、OB会,新聞コンテスト、クリスマスパーティー,,東西合宿（他大との交流会）,追いコン,学生記者募集！,10000,2,2,2,3,4,4,2,メディア関係のアルバイトの紹介があるため、業界の雰囲気に触れることができる,スポーツ新聞会（ケイスポ）は體育會各部を取材し、新聞やウェブを通じてその活動を発信しています。新聞製作では、スポニチの編集室を使いプロの記者と同じ環境で質の高い新聞を作っています。スポーツ好きの部員は仲が良く、普通の大学生として合宿などのイベントを楽しむことも忘れません！制作者として、選手そして大勢の読者と感動を共有しませんか？熱い大学生活を送りたいみなさん、ぜひケイスポへ！,26200.jpg,26201.jpg,26202.jpg,,,,,,,,,,
PLURIO,該当なし,国際交流,独立団体,プルリオ,独立団体,350,162,plurio2020@gmail.com,plurio2020,plurio2020,,,,日吉独立館地下一階コミュニケーションラウンジ,,平日＋月に約4回のイベント,特になし,特になし,平日の3〜5限の暇な時間にコミュニティラウンジに集まる。あとはイベント参加！,,参加した,屋台でホットク販売,×,,0,0,,,新歓ご飯会、バーベキュー,鎌倉散策など,早慶戦など,Farewell party など,夏合宿、納涼船など,Welcome party など,ハロウィンパーティなど,三田祭など,クリスマスパーティなど,Farewell party など,イベント,Welcome party など,イベント盛り沢山の国際交流サークル！英語が苦手でも大歓迎！,3000,2,2,4,4,3,1,3,特になし,"慶應義塾大学公認の国際交流サークル'PLURIO'（プルリオ）です！
 留学生と交流したい！って人はもちろん、
 新しく友達の輪を作りたい！空きコマや暇な時間の居場所が欲しい！色んな楽しいイベントに参加したい！って人まで楽しめるサークルです！
 英語は苦手だな〜と思う人も大歓迎！",26300.jpg,26301.jpg,26302.jpg,26303.jpg,26304.jpg,26305.jpg,26306.jpg,26307.jpg,26308.jpg,26309.jpg,26310.jpg,2631.mp4,
慶應インドカレー同好会,該当なし,中東南アジア文化,インカレ,慶應インカレ,非公認団体,50,20,なし,mt25potX,,,,,ひようらのインドカレー屋さん,,月一食事会,自由,既婚女性は派手な衣装は避けましょう。,"慶應インカレ（インドカレー同好会）はカレー好きが集まり不定期の食事会やナンパ（ナンパーティー）、ドバイへの冬合宿、インカレ巡りを通して親睦を深める会ラッシー！部員現在600名前後。経済新人会に次ぐ慶應最大級のサークルラッシー！入会活動参加自由完全無料。*ラッシーの強要はありません
 LINE荒らされたからLINEグルなしだけど最大時600人入ってて永久会員制だから600カウントだけどコアグループはLINE50人くらいで活動してる。荒らされるからLINEグルは増やさない、Twitterで食事会告知するから参加したかったらTwitterにDM頂戴",東京外国語大学と合同食事会、元ミス慶應の上野さんを招いた食事会、クリスマスイブにシリアナン民へのチャリティー食事会等,参加しなかった。,,〇,上智、東京外語大、早稲田,10,5,,,新歓ナンパ,食事会,食事会,テストだから休み,長期休暇だから休み,長期休暇だから休み,食事会,食事会,クリボッチチャリティー食事会(シリアナン民への寄付),テストだから休み,有志で海外遠征,海外遠征引き続き,ラッシーやカレー(飲み物)のコールや強要等はないです,0,2,4,2,4,2,5,1,インドはITに強く今後人口も世界一になります。インドについて知見を深めることは今後中国語を学ぶのと同じくらい、いやそれ以上に重要になるでしょう。あとアラブの石油王の娘のヒモになりたい人又は石油王に玉の輿したい人も歓迎です。,呑みはコールとかあるけど任意です。ちなみにノンアルです。ていうか基本ラッシーです。お腹壊さないように気をつけて,,,,,,,,,,,,,
マルコFC,スポーツ,フットサル,インカレ,マルコ,非公認団体,59,65,なし,MarcoFC2020,,,,,大岡山、大倉山,,週2,特になし,特になし,体育館での練習,,参加した,トッポギスープを出店,〇,聖心、清泉、フェリス,0,65,,,新歓,新歓バーベキュー,ディズニー,,,夏合宿,,,クリパ,,春合宿,,慶應で今一番アツイアットホームなフットサルサークルです！,7000,2,3,4,4,3,2,3,先輩が就活始めるのが早い,フットサルの試合の時は本気でやります！,26500.jpg,26501.jpg,26502.jpg,26503.jpg,26504.jpg,26505.jpg,,,,,,,
フラサークルPilialoha,スポーツ,ダンス,独立団体,Pilialoha / Hui Pilialoha O Keio,独立団体,76,76,hulateam.pilialoha@gmail.com,Pilialoha4,keio_pilialoha_hula,フラサークルPilialoha,Facebook hulateampilialoha,http://hulateampilialoha.wixsite.com/hui-pilialoha-o-keio,協生館、塾生会館、外部スタジオ(年に数回),塾生会館402号室,火・木の放課後,週一回,Tシャツ、パウスカート(体験の際は貸します)、笑顔☺️,練習,,参加した,メインステージ、ミニステージ(雨天により中止)、演舞場(雨天により中止)でのパフォーマンス,×,,0,0,,,新歓オリエンテーション,通常練習,通常練習、総会,七夕祭(昨年出演させていただきました),夏合宿,矢上祭(昨年出演予定でした(台風により中止)),通常練習,三田祭(昨年出演させていただきました),通常練習、総会,通常練習,オリジナル公演,通常練習,慶應唯一の公認フラダンスサークルです！初心者大歓迎です！,7000,2,1,2,4,4,3,2,2年は全員必ず一つ以上の係を務め、みんなで協力してサークルを運営するので、企画・運営力がつきます🤙🏻就活でアピールできます！,"Pilialohaならではのポイント！
 3点あります！
 まず1点目は、フラダンスだけでなくハワイの文化なども学べるところ🌺 踊る曲のハワイ語の歌詞の意味も考えながら、感情を込めて踊ります！ また、有志でウクレレ隊も結成していて、楽器や歌も楽しむことができます🤙🏻
 
 2点目は、ほぼみんなが同じスタートラインから始められるところ🥺 現在のサークル員ほとんどがフラダンス未経験者です！優しい先輩が手取り足取り教えます💪
 
 3点目は、サークル全体で仲良くなれるところ！
 一般的なダンスサークルのようなジャンル分けがなく、ステージごとに踊りたい曲ごとに分かれて練習するため、毎回色々な人と組みます！ たくさんの人と関わり合い、みんなと仲良くなれるところがいいところです🌸
 
 
 とにかく暖かい雰囲気で、愛に溢れた素敵なサークルです🥺💝ぜひ体験や食事会、新歓ステージに遊びに来てください！",26600.jpg,26601.jpg,26602.jpg,26603.jpg,26604.jpg,26605.jpg,26606.jpg,26607.jpg,26608.jpg,26609.jpg,26610.jpg,2661.mp4,
軟式野球同好会Blues&Reds,スポーツ,野球,インカレ,KBR,未公認団体,24,14,なし,kbr_keio,2019kbr,,,,ガス橋グラウンド、東調布公園,,火、木、土,全参加希望,野球するのに必要な道具(バット以外),火、木：練習 土：試合,塾内戦3年連続準優勝、関東大会ベスト16、アスリードスポーツトーナメントベスト8,参加した,屋台でワッフル販売,〇,フェリス、白百合、東洋英和,0,14,,,新歓オリエンテーション、新歓合宿,練習、バーベキュー,練習、大会合宿,オフ,夏合宿、練習,練習、塾内戦,塾内戦、関東大会、練習,塾内戦決勝、練習,オフ,オフ,新年会、スノボー合宿,練習,慶應で1番野球を楽しく真面目にやるサークルです！,3000,3,3,3,4,2,3,2,特になし,1969年創立。野球にもイベントにも熱心な野球サークルです！野球もまじめに取り組んでおり、3年連続塾内戦準優勝、関東大会出場、2019年スポ活トーナメントベスト8などの戦績を残しています。イベントも盛りだくさんでマネも楽しめる環境となっております！,26700.jpg,26701.jpg,26702.jpg,26703.jpg,26704.jpg,26705.jpg,26706.jpg,26707.jpg,26708.jpg,26709.jpg,,2671.mp4,
アメリカンフットボール部（医学部）,スポーツ,アメリカンフットボール,医学部体育会,UNICORNS MNP、医薬看アメリカンフットボール部など,医学部体育会,37,17,なし,unicornsMNP,,,,https://unicornsmnp.wixsite.com/member-hp,日吉嵐が丘グラウンド、三田綱町グラウンド、信濃町キャンパス,信濃町キャンパス内,月・水・金・日曜日,選手は毎回、マネージャーは週1〜2回のシフト制,特になし,毎年秋に開催される医科歯科リーグ優勝を目指し練習しています。,2015年 医科歯科リーグ1部優勝,参加しなかった。,,×,,0,0,なし,なし,春シーズン,春シーズン,下旬まで春シーズン、その後オフ,下旬までオフ、その後夏秋シーズン開始,夏秋シーズン,夏秋シーズン,夏秋シーズン,夏秋シーズン,上旬まで夏秋シーズン、その後オフ,オフ,中旬までオフ、その後春シーズン開始,春シーズン,未経験だった部員が大半！新しいこと始めたいならアメフト部へ！,58000,2,2,4,3,4,5,3,強いです！,医薬看のアメリカンフットボール部です！アメフトは野蛮なスポーツだと思っていませんか？実は、緻密な戦略が必要な奥の深い競技なんです！未経験者大歓迎！！僕らと一緒にアメフトしませんか！？選手は医学部・薬学部・看護医療学部から、マネージャーは全学部から募集しています！新歓で会いましょう！！,26800.jpg,26801.jpg,26802.jpg,26803.jpg,,,,,,,,2681.mp4,
慶應義塾體育會競走部（陸上部）,,,体育会,競走部,体育会,116,25,keiotf.orien@gmail.com,keiotf_orien,keio_tf,,,http://keio-tf.org/,日吉陸上競技場（日吉キャンパス・日吉駅から徒歩1分以内）,日吉陸上競技場横,週５（火・水・木：16:45~21:00、土・日：10:00~）,全参加（授業がある場合、授業最優先）,ウェア・シューズ・PASSION,競技場での練習・サポートスタッフ（マネージャー・トレーナー）はサポート活動,"創部103年
 関東インターカレッジ・全日本インターカレッジにて入賞者在籍
 関東インタカーレッジ 一部校",参加しなかった。,,×,,0,0,,,東京六大学対校陸上競技大会,関東学生陸上競技対校選手権大会（関東インターカレッジ）,日本陸上競技選手権大会,慶應義塾大学対同志社大学対校陸上競技大会,夏合宿,日本学生陸上競技対校選手権大会・早慶対校陸上競技大会,東京箱根間往復大学駅伝競走予選会（箱根駅伝予選会）,特になし,特になし,東京箱根間往復大学駅伝競走（箱根駅伝）,春合宿,春合宿,,,2,3,3,4,5,5,3,実業団から、民間就職、また国家試験合格者まで、様々な業界で活躍されている先輩方が多数いらっしゃいます。,"私たち體育會競走部（陸上部）は、創部103年の永き伝統を持ち、日本選手権・インターカレッジなどの優勝者・上位入賞者を数多く輩出しています。「陸の王者・慶應」として、「総力戦」をテーマに掲げ日々活動に励んでいます。
 本年度も、数多くの入部希望者をお待ちしております！",,,,,,,,,,,,,
